the environment, adaptations, an ecosystem, the world,
83, 78, 131, 153,
California, Texas, Louisiana, Maryland,
Animal and plant species develop characteristics over time which help them survive their habitats, Animals and plants like their habitats, Animals and plants decide to change their habitats, Animals and plants learn to thrive in their habitats,
1 hour 55 minutes, 2 hours 5 minutes, 2 hours 55 minutes, 3 hours 5 minutes,
1991, 1992, 1993, 1990,
Seaweed's toughness and flexibility, Seaweed's slimy texture, Seaweed's nutritional value, Seaweed's green color,
8, 11, 14, 19,
Constitution, Bill of Rights, Emancipation Proclamation, Mayflower Compact,
A long neck, A double row of long eyelashes, Bushy eyebrows, Nostrils which can close,
4 times, 7 times, 21 times, 35 times,
1790, 1776, 1848, 1902,
Woodland, The seashore, Mountains, Desert,
10000 + 8000 + 90 + 6, 18 + 1000 + 90 + 6, 18 + 1000 + 900 + 60, 10000 + 8000 + 900 + 60,
U.S. Marshals, Customs Clerks, Congressional Staff, Soldiers,
They both have streamlined bodies for swimming, They both have fins for swimming, They both have feathers for warmth, They both have gills for breathing under water,
687, 693, 1493, 1695,
Collecting taxes from states to repay war debt, Planning political campaign events, Locating military installations, Identifying cities to connect with canals
